Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
CME:MBT1!,Buy,Limit,154,99130,,98945,Filled,6.0950,20:1,"76,330.10 USD",2025-02-07 10:34:40,2025-02-07 10:34:40,1780791783
CME:MBT1!,Sell,Stop,154,,98960,98975,Filled,6.0969,,,2025-02-07 10:34:40,2025-02-07 10:39:04,1780791784
CME:MBT1!,Sell,Limit,154,99815,,,Cancelled,,,,2025-02-07 10:34:40,2025-02-07 10:39:04,1780791785
CME:MBT1!,Sell,Limit,113,98545,,98545,Filled,4.4542,20:1,"55,677.93 USD",2025-02-07 11:02:41,2025-02-07 11:07:03,1780935226
CME:MBT1!,Buy,Stop,113,,98510,98535,Filled,4.4538,,,2025-02-07 11:02:41,2025-02-07 11:16:04,1780935227
CME:MBT1!,Buy,Limit,113,97565,,,Cancelled,,,,2025-02-07 11:02:41,2025-02-07 11:16:04,1780935228
CME:MBT1!,Sell,Limit,140,97555,,97555,Filled,5.4631,20:1,"68,288.50 USD",2025-02-10 11:03:49,2025-02-10 11:03:49,1785853434
CME:MBT1!,Buy,Stop,140,,97745,97740,Filled,5.4734,,,2025-02-10 11:03:49,2025-02-10 11:11:28,1785853435
CME:MBT1!,Buy,Limit,140,96395,,,Cancelled,,,,2025-02-10 11:03:49,2025-02-10 11:11:28,1785853437
CME_MINI:NQ1!,Sell,Limit,14,21791,,,Rejected,,20:1,,2025-02-10 19:09:10,2025-02-10 19:20:32,1786758688
CME_MINI:NQ1!,Buy,Stop,14,,21800.25,,Cancelled,,,,2025-02-10 19:09:10,2025-02-10 19:20:32,1786758689
CME_MINI:NQ1!,Buy,Limit,14,21731.5,,,Cancelled,,,,2025-02-10 19:09:10,2025-02-10 19:20:32,1786758690
CME:MBT1!,Buy,Limit,293,98050,,,Cancelled,,20:1,,2025-02-10 19:31:44,2025-02-10 20:18:48,1786780402
CME:MBT1!,Sell,Stop,293,,97960,,Cancelled,,,,2025-02-10 19:31:44,2025-02-10 20:18:48,1786780403
CME:MBT1!,Sell,Limit,293,98485,,,Cancelled,,,,2025-02-10 19:31:44,2025-02-10 20:18:48,1786780404
CME:MBT1!,Buy,Limit,165,98085,,98085,Filled,6.4736,20:1,"80,920.13 USD",2025-02-11 08:05:08,2025-02-11 08:10:16,1787729476
CME:MBT1!,Sell,Stop,165,,97925,97920,Filled,6.4627,,,2025-02-11 08:05:08,2025-02-11 08:22:23,1787729478
CME:MBT1!,Sell,Limit,165,98630,,,Cancelled,,,,2025-02-11 08:05:08,2025-02-11 08:22:23,1787729479
CME_MINI:MNQ1!,Buy,Limit,69,21940,,21929.25,Filled,12.1049,20:1,"151,386.00 USD",2025-02-13 13:10:15,2025-02-13 13:19:14,1794251108
CME_MINI:MNQ1!,Sell,Stop,69,,21921.25,21920.25,Filled,12.1000,,,2025-02-13 13:10:15,2025-02-13 13:19:16,1794251111
CME_MINI:MNQ1!,Sell,Limit,69,22000.25,,,Cancelled,,,,2025-02-13 13:10:15,2025-02-13 13:19:16,1794251112
CME_MINI:MNQ1!,Buy,Limit,51,22084.5,,22083,Filled,9.0099,20:1,"112,630.95 USD",2025-02-13 19:13:31,2025-02-13 19:13:31,1794828104
CME_MINI:MNQ1!,Sell,Stop,51,,22093,22093.5,Filled,9.0141,,,2025-02-13 19:13:31,2025-02-13 19:48:30,1794828105
CME_MINI:MNQ1!,Sell,Limit,51,22157.5,,,Cancelled,,,,2025-02-13 19:13:31,2025-02-13 19:48:30,1794828106
COMEX:GC1!,Buy,Limit,17,2956.2,,,Cancelled,,20:1,,2025-02-13 22:03:32,2025-02-13 22:31:39,1794997757
COMEX:GC1!,Sell,Stop,17,,2954.7,,Cancelled,,,,2025-02-13 22:03:32,2025-02-13 22:31:39,1794997758
COMEX:GC1!,Sell,Limit,17,2964,,,Cancelled,,,,2025-02-13 22:03:32,2025-02-13 22:31:39,1794997759
CME_MINI:MNQ1!,Buy,Limit,79,22113.5,,,Cancelled,,20:1,,2025-02-14 10:50:35,2025-02-14 10:56:04,1796400196
CME_MINI:MNQ1!,Sell,Stop,79,,22094.25,,Cancelled,,,,2025-02-14 10:50:35,2025-02-14 10:56:04,1796400198
CME_MINI:MNQ1!,Sell,Limit,79,22170,,,Cancelled,,,,2025-02-14 10:50:35,2025-02-14 10:56:04,1796400199
CME:MBT1!,Buy,Limit,180,96960,,,Cancelled,,20:1,,2025-02-14 11:55:27,2025-02-14 11:55:47,1796623965
CME:MBT1!,Sell,Stop,180,,96815,,Cancelled,,,,2025-02-14 11:55:27,2025-02-14 11:55:47,1796623966
CME:MBT1!,Sell,Limit,180,97410,,,Cancelled,,,,2025-02-14 11:55:27,2025-02-14 11:55:47,1796623967
CME_MINI:MNQ1!,Buy,Limit,79,22133.5,,22133.5,Filled,13.9884,20:1,"174,854.65 USD",2025-02-14 12:00:03,2025-02-14 12:05:02,1796639168
CME_MINI:MNQ1!,Sell,Stop,79,,22120.75,22120.75,Filled,13.9803,,,2025-02-14 12:00:03,2025-02-14 12:07:36,1796639169
CME_MINI:MNQ1!,Sell,Limit,79,22175,,,Cancelled,,,,2025-02-14 12:00:03,2025-02-14 12:07:36,1796639170
CME_MINI:MNQ1!,Buy,Limit,68,22126.25,,22123,Filled,12.0349,20:1,"150,458.50 USD",2025-02-14 12:20:44,2025-02-14 12:20:45,1796698066
CME_MINI:MNQ1!,Sell,Stop,68,,22107.25,22107,Filled,12.0262,,,2025-02-14 12:20:44,2025-02-14 12:25:41,1796698068
CME_MINI:MNQ1!,Sell,Limit,68,22171.75,,,Cancelled,,,,2025-02-14 12:20:44,2025-02-14 12:25:41,1796698069
